Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
932e9dcf-f886-4f7d-86f0-03949a05689f,"2020-03-13, 10:31:45 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,154.72.150.32
9a5edd75-52a5-4a80-9b5c-75cdeadee6de,"2020-03-13, 10:27:33 AM",CloudTrail,ChangePassword,,,,us-east-1,,154.72.150.32
cfa4ba65-6cf5-48a4-adfc-3e5038c9d4c6,"2020-03-13, 10:26:52 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,154.72.150.32
0b489dce-dcb9-4783-a68d-6b00e1b8db58,"2020-03-13, 10:22:47 AM",root,ConsoleLogin,,,,us-east-1,,154.72.150.32
969700d5-e148-45a6-8427-7bfdfbfdce46,"2020-03-13, 10:20:00 AM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,154.72.150.32
08d4029c-7861-4dc3-be7f-c3bdd7c88791,"2020-03-13, 10:19:37 AM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,154.72.150.32
126c12f6-d51e-49a2-94c6-2e44d6cb446e,"2020-03-13, 10:16:13 AM",Accountant,ChangePassword,,,,us-east-1,,154.72.150.32
cf4ca2ca-535a-455e-b1a6-54f948193e2f,"2020-03-13, 10:15:21 AM",Accountant,ConsoleLogin,,,,us-east-1,,154.72.150.32
d6c36af1-42ab-49ab-ae94-87314a95d59c,"2020-03-13, 10:10:22 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,154.72.150.32
341398b1-5198-4bcf-a509-db9f3439b415,"2020-03-13, 10:10:20 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,154.72.150.32
53575a6c-4ed6-4eec-aec6-1366398ee443,"2020-03-13, 10:10:20 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,154.72.150.32
d50201e8-a2d2-4d4f-a96e-3afbe37744a1,"2020-03-13, 10:10:19 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::355907690613:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVFXOAMB2T7QMSOEPC""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,154.72.150.32
82d565c1-a9c4-47ed-ba20-493389bcf9a3,"2020-03-13, 10:01:23 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,154.72.150.32
d8cda370-6177-4835-a618-5f07f83ce1e7,"2020-03-13, 10:01:22 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,154.72.150.32
